,Affiliations_2016_to_2021,Record_Count,longitude,latitude
39,Memorial Sloan Kettering Cancer Center,54,-73.9569549,40.7644418
40,Chinese Academy Of Sciences,52,116.2440577,39.907697
41,University Of Iowa,51,-91.5795267,41.6683126
42,Beth Israel Deaconess Medical Center,50,-76.3054313,36.8584027
43,University Of Oxford,49,-1.2556685,51.7587075
44,Karolinska Institutet,47,18.0310658,59.3515453
45,University Of Colorado Anschutz Medical Campus,47,-104.8386619,39.7446494
46,University College London,46,-0.1330007,51.524203
47,New York University,45,-73.9962539,40.7292532
48,Case Western Reserve University,44,-81.6007022,41.5013869
49,Imperial College London,44,-0.1756413,51.4989595
50,University Of Chicago,43,-87.6008439,41.7913968
51,Fred Hutchinson Cancer Center,42,-122.330673,47.6277525
52,State University System Of Florida,42,-81.7613967,24.5705338
53,Shanghai Jiao Tong University,40,121.4307013,31.2041347
54,Sorbonne Universite,40,2.3611216,48.8379885
55,Max Planck Society,39,11.6765672,48.2633373
56,Mcgill University,38,-73.5791163,45.5069177
57,University Of Alabama Birmingham,38,-86.8060476,33.5016153
58,Broad Institute,37,-71.0869977,42.3680756
59,Childrens Hospital Of Philadelphia,37,-75.1949802,39.9476976
60,Indiana University Bloomington,37,-86.5093772,39.1802358
61,Sun Yat Sen University,37,113.2923509,23.0996033
62,University Of Minnesota Twin Cities,37,-121.31106,38.29103
63,Ruprecht Karls University Heidelberg,36,8.6700664,49.4158674
64,Rutgers State University New Brunswick,36,-74.4457915,40.5000759
65,Cleveland Clinic Foundation,35,-81.6220008,41.5005343
66,Fudan University,35,121.500455,31.301044
67,Johns Hopkins Bloomberg School Of Public Health,35,-76.5899174,39.2979735
68,Newyork Presbyterian Hospital,35,-73.9862307,40.6740635
69,Technical University Of Munich,35,11.6693456,48.2655696
70,University System Of Maryland,35,-77.7210172,39.6428235
71,University Of Maryland Baltimore,34,-76.6263019,39.2894478
72,Cedars Sinai Medical Center,33,-118.3810936,34.0751604
73,Cincinnati Children S Hospital Medical Center,33,-76.3054313,36.8584027
74,University Of Munich,33,11.6693456,48.2655696
75,University Of Texas Health Science Center Houston,33,-95.4031517,29.7029914
76,University System Of Georgia,33,-83.50018,32.75042
77,Charite Universitatsmedizin Berlin,32,13.3777396,52.5258513
78,Free University Of Berlin,32,13.41053,52.52437
79,Humboldt University Of Berlin,32,13.3928784,52.5185814
80,University Of Cambridge,32,0.1197387,52.1998523
81,Monash University,31,144.9586743,-37.7839745
82,Boston University,30,-71.1012273,42.3503173
83,National University Of Singapore,30,103.7768994,1.2962018
84,University Health Network Toronto,30,-79.4163,43.70011
85,University Of Melbourne,30,144.9613013,-37.7970796
86,University Of Virginia,30,-78.5054996,38.0410576
87,University Of Erlangen Nuremberg,29,11.0157416,49.6009515
88,University Of Tokyo,29,139.9362195,35.9019845
89,University Of Utah,29,-111.8368719,40.7628137
90,University Of Zurich,29,8.7298072,47.4968435
91,KU Leuven,28,4.6932753,50.8695264
92,Ciber Centro De Investigacion Biomedica En Red,27,-96.03389,17.08833
93,Kyoto University,27,135.777149,35.0229299
94,Rutgers State University Medical Center,27,-110.94594,32.2405
95,Universite De Montreal,27,-73.6145389,45.5049568
96,University Of Cincinnati,27,-84.515762,39.1318613
97,King S College London,26,-0.1351659,51.5155385
98,Rockefeller University,26,-73.9557565,40.7624395
99,University Of Hamburg,26,9.9949789,53.5641091
100,University Of Lausanne,26,6.5809505,46.5225695
101,Yeshiva University,26,-118.387855,34.0555657
102,Goethe University Frankfurt,25,8.68417,50.11552
103,St Jude Children S Research Hospital,25,-8.43056,52.47306
104,Universite Paris Saclay,25,2.1713429,48.7087635
105,University Medical Center Hamburg Eppendorf,25,9.9868771,53.5903912
106,University Of Amsterdam,25,4.8898042,52.3681334
107,Cardiff University,24,-3.1833082,51.4907068
108,University Of Massachusetts Worcester,24,-71.813224,42.2684083
109,University Of Southern California,24,-118.2858673,34.0218833
110,University Of Wisconsin Madison,24,-89.4306643,43.0798281
111,Central South University,23,-81.1053094,31.9992666
112,Chinese Academy Of Medical Sciences Peking Union Medical College,23,-147.80278,64.85694
113,Novartis,23,30.263156,60.0563375
114,Queen Mary University London,23,-0.0393103,51.5247272
115,Seoul National University Snu,23,126.9521607,37.458115
116,University Of Florida,23,-82.3490133,29.6328784
117,Hospital For Sick Children Sickkids,22,-79.3876006,43.6573717
118,Nanjing Medical University,22,121.5185329,25.0395961
119,University Of Bonn,22,7.1022465,50.7338124
120,University Of Miami,22,-80.2787069,25.7172724
121,Eberhard Karls University Of Tubingen,21,9.05222,48.52266
122,Johannes Gutenberg University Of Mainz,21,8.2791,49.98419
123,The Methodist Hospital Houston,21,-95.399264,29.7108167
124,The Methodist Hospital System,21,-98.5725747,29.5133895
125,Ucsf Medical Center,21,-122.3888694,37.7643313
126,University Of Copenhagen,21,12.572327,55.6801502
127,University Of Rochester,21,-77.5882916,43.1576969
128,University Of Wurzburg,21,9.9559884,49.7962527
129,Peking Union Medical College,20,116.4096576,39.9116375
130,Ucsf Helen Diller Family Comprehensive Cancer Center,20,2.16667,7.25
131,University Of Barcelona,20,2.1635238,41.3868913
132,University Of Chinese Academy Of Sciences Cas,20,-7.61138,33.58831
133,University Of Edinburgh,20,-3.1883736,55.9440764
134,University Of Munster,20,7.5992433,51.9673422
135,University Of Sydney,20,151.1894337,-33.8889069
136,Albert Einstein College Of Medicine,19,-73.845722,40.8527766
137,James Cancer Hospital Solove Research Institute,19,-83.0196645,39.9949945
138,Oregon Health Science University,19,-122.6864957,45.4981929
139,Osaka University,19,-111.6792634,40.2755037
140,Tufts University,19,-71.1180073,42.4064913
141,University Of Basel,19,7.5752961,47.5612651
142,Huazhong University Of Science Technology,18,114.4078609,30.5154753
143,Medical University Of South Carolina,18,-79.9517058,32.7855386
144,Seattle Children S Hospital,18,-122.271267,47.5216
145,Shanghai Institutes For Biological Sciences Cas,18,-7.61138,33.58831
146,University Of Freiburg,18,7.157106,46.793058
147,University Of Helsinki,18,24.9491553,60.1710393
148,Utrecht University,18,5.1741064,52.0851623
149,Astrazeneca,17,2.3460397,51.0109641
150,Augusta University,17,-81.988562,33.4693345
151,Institut Pasteur Paris,17,2.3102394,48.8408378
152,Joslin Diabetes Center Inc,17,106.27306,38.46806
153,Karolinska University Hospital,17,18.0335814,59.3508628
154,Medical College Of Wisconsin,17,-88.0224532,43.0438671
155,Radboud University Nijmegen,17,5.8634034,51.8215172
156,Scripps Research Institute,17,-117.2428803,32.8984967
157,University Of Manchester,17,-2.2351187,53.4739625
158,Va Tennessee Valley Healthcare System,17,-86.8039453,36.141127
159,City Of Hope,16,-117.9732449,34.1276438
160,Princess Margaret Cancer Centre,16,11.83333,4.75
161,Sanford Burnham Prebys Medical Discovery Institute,16,-117.2419808,32.9011573
162,Tianjin Medical University,16,117.214082,39.0817969
163,Ulm University,16,114.586271,-3.2963061
164,Universite De Montpellier,16,3.8618177,43.6315655
165,University Of Queensland,16,153.0131696,-27.4974181
166,Zhejiang University,16,121.6329466,29.9091815
167,Eberhard Karls University Hospital,15,-81.98413,33.47063
168,German Centre For Cardiovascular Research,15,145.18333,-37.7
169,Lund University,15,13.2107587,55.7126504
170,Medical University Of Vienna,15,16.3477318,48.2189985
171,Peking University,15,116.303935,39.991715
172,Technische Universitat Dresden,15,13.7359828,51.0282765
173,Temple University,15,-75.1562828,39.981188
174,The Wistar Institute,15,-75.1958788,39.951189
175,University Of Arizona,15,-112.0636789,33.4520517
176,University Of Cologne,15,6.9281745,50.9280389
177,University Of Hong Kong,15,114.138455,22.2826975
178,University Of Milan,15,9.1887087,45.4497194
179,University Of South Florida,15,-82.4138362,28.0599999
180,Wuhan University,15,114.3599195,30.5398018
181,Aix Marseille Universite,14,5.357821,43.2935235
182,Autonomous University Of Barcelona,14,2,41.66667
183,Beckman Research Institute Of City Of Hope,14,-121.44144,49.38299
184,Ghent University,14,3.7108811,51.0079473
185,Keio University,14,139.6495838,35.5520841
186,Michigan State University,14,-84.477921,42.7192043
187,National Taiwan University,14,121.5384692,25.0168284
188,Newcastle University Uk,14,-1.6146802,54.980175
189,Sichuan University,14,103.9859532,30.7697903
190,Southern Medical University China,14,113.3296769,23.1901971
191,State Key Lab Oncology South China,14,-69.57115,44.39562
192,Tel Aviv University,14,34.8046101,32.1037064
193,Yonsei University,14,126.6618928,37.3881737
194,Childrens Hospital Colorado,13,-104.835535,39.7425007
195,Francis Crick Institute,13,-0.1287673,51.5315434
196,Genentech,13,-122.9287195,45.5539444
197,George Washington University,13,-77.0482121,38.8994972
198,La Jolla Institute For Immunology,13,-117.219901,32.877243
199,Leiden University,13,4.4596631,52.1686339
200,Leiden University Medical Center Lumc,13,4.4774005,52.1661989
201,Psl Research University Paris,13,2.3488,48.85341
202,Riken,13,7.8491956,47.2760208
203,Rush University,13,-87.6694981,41.8736438
204,Texas A M University College Station,13,-96.3520606,30.6108618
205,Tulane University,13,-90.1201009,29.9412195
206,Univ Hosp Zurich,13,8.7298072,47.4968435
207,Universite De Bordeaux,13,-0.5700867,44.83098
208,University Of Gottingen,13,9.932326,51.528508
209,University Of Illinois Chicago,13,-87.6008439,41.7913968
210,University Of Illinois Chicago Hospital,13,-8.43056,52.47306
211,Egyptian Knowledge Bank Ekb,12,75.32287,51.72371
212,Erasmus Mc,12,4.4680514,51.9109324
213,Erasmus University Rotterdam,12,4.4874986,51.9228696
214,German Center For Infection Research,12,145.18333,-37.7
215,Guangzhou Medical University,12,113.3296769,23.1901971
216,Hannover Medical School,12,9.7988442,52.3891653
217,Institute Of Cancer Research Uk,12,-0.1746106,51.4897752
218,Instituto De Salud Carlos Iii,12,-3.6938552,40.4759704
219,Ionis Pharmaceuticals Inc,12,106.27306,38.46806
220,Jinan University,12,35.8472876,34.409886
221,Johnson Johnson,12,72.9408172,19.1755061
222,Pennsylvania State University,12,-77.8770833,40.8110722
223,Rwth Aachen University,12,6.0689208,50.7791703
224,Saint Louis University,12,-90.2316773,38.6352837
225,Universite Cote D Azur,12,4.8192926,43.9495355
226,University Hospitals Of Cleveland,12,-81.605622,41.5060114
227,University Of British Columbia,12,-123.2465816,49.2583937
228,University Of Calgary,12,-114.1462839,51.0742329
229,University Of New South Wales Sydney,12,151.2251823,-33.9170154
230,University Of Oslo,12,10.7236839,59.9414207
231,University Of Regensburg,12,12.0962644,49.0030554
232,Utrecht University Medical Center,12,5.1741064,52.0851623
233,Ann Robert H Lurie Children S Hospital Of Chicago,11,-87.65005,41.85003
234,Bristol Myers Squibb,11,11.5482523,48.1432809
235,Brown University,11,-71.4012451,41.8268693
236,Capital Medical University,11,-73.7791922,42.6538955
237,Case Western Reserve University Hospital,11,-81.6007022,41.5013869
238,Hebrew University Of Jerusalem,11,35.244723,31.7918555
239,Hospital Clinic De Barcelona,11,2.1506393,41.3880618
240,Indiana University Purdue University Indianapolis,11,-86.15804,39.76838
241,Institute Of Molecular Cell Biology Imcb,11,103.7930562,1.3029208
242,Jackson Laboratory,11,-68.1963155,44.365255
243,Janssen Pharmaceuticals,11,-74.8482586,40.2926999
244,Jefferson University,11,-123.2775071,44.5650669
245,Max Delbruck Center For Molecular Medicine,11,13.3853705,52.5262592
246,Nyu Langone Medical Center,11,-73.9735654,40.7423026
247,Pla Second Military Medical University,11,-89.52536,34.36594
248,Shandong University,11,120.673818,36.3693473
249,Sinai Health System Toronto,11,-79.4163,43.70011
250,Suzhou University,11,120.8928798,31.4173816
251,University Of California Davis,11,-121.7907726,38.5336349
252,University Of Duisburg Essen,11,6.7843162,51.4276779
253,University Of Geneva,11,6.1515108,46.1935215
254,University Of Groningen,11,6.5625148,53.2196783
255,University Of Kansas,11,-95.2630888,38.9534884
256,University Of Padua,11,-74.0013226,40.7272282
257,University Of Tennessee Health Science Center,11,-90.0313529,35.1393168
258,Uppsala University,11,17.6376705,59.8617859
259,Air Force Military Medical University,10,-89.52536,34.36594
260,Benaroya Research Institute,10,-122.3292915,47.6100431
261,Eli Lilly,10,-0.6775564,51.3762416
262,Glaxosmithkline,10,-99.1439162,19.287676
263,Harbin Medical University,10,126.6372431,45.6985375
264,Heinrich Heine University Dusseldorf,10,6.7935167,51.1907732
265,Justus Liebig University Giessen,10,8.67554,50.58727
266,Kyushu University,10,130.553603,32.9473967
267,Laval University,10,-112.8630646,49.6749825
268,Nagoya University,10,136.9677806,35.1533086
269,Nih Clinical Center Cc,10,-77.1045422,39.0016448
270,Penn State Health,10,-79.7908679,40.4791592
271,United States Department Of Defense,10,-112.1111324,46.6541116
272,Universite De Strasbourg,10,7.7627726,48.5834746
273,University Hospital Leuven,10,4.6967269,50.8611279
274,University Of Alberta,10,-113.5244937,53.52682
275,University Of Connecticut,10,-72.2427754,41.8217576
276,University Of Kansas Medical Center,10,-94.6095395,39.0569963
277,University Of Missouri Columbia,10,-92.329703,38.9364147
278,Vrije Universiteit Amsterdam,10,4.8651965,52.3339622
279,Xi An Jiaotong University,10,116.336069,39.9504404
280,Aarhus University,9,10.2026177,56.1670905
281,Academia Sinica Taiwan,9,121.6141226,25.0420743
282,Army Medical University,9,-104.8375871,39.7451913
283,China Medical University Taiwan,9,120.6797618,24.1563931
284,Consiglio Nazionale Delle Ricerche Cnr,9,10.4220511,43.7185349
285,Eth Zurich,9,8.5475089,47.3773269
286,Gustave Roussy,9,2.3396554,48.8359658
287,Icrea,9,9.3205646,45.542003
288,Institut Curie,9,2.3435197,48.8426449
289,Kumamoto University,9,130.7270397,32.8164178
290,Mayo Clinic Phoenix,9,-111.9541567,33.6540664
291,Medimmune,9,0.2250858,52.1152772
292,National Taiwan University Hospital,9,121.5384692,25.0168284
293,Pfizer,9,4.3097669,51.0669817
294,United States Army,9,-122.5760282,45.4934387
295,Universidade De Sao Paulo,9,-46.7220744,-23.5597692
296,Universite De Lille,9,3.0746827,50.6313271
297,Universite Libre De Bruxelles,9,4.4369592,50.8138773
298,University Of Bern,9,7.4386841,46.9509726
299,University Of Birmingham,9,-1.9297475,52.4510477
300,University Of California Berkeley,9,-122.2396336,37.8753497
301,University Of Gothenburg,9,11.9712517,57.6985528
302,University Of Kentucky,9,-84.5048198,38.0270357
303,University Of Manitoba,9,-97.1330418,49.8091536
304,University Of Nebraska Medical Center,9,-95.9778423,41.256303
305,University Of Oklahoma Health Sciences Center,9,-97.4961201,35.4755069
306,Va Connecticut Healthcare System,9,-72.7147333,41.6978327
307,Va Palo Alto Health Care System,9,-122.1408178,37.4055537
308,Wake Forest University,9,-80.2781152,36.134335
309,Academic Medical Center Amsterdam,8,4.9565766,52.2924635
310,Cancer Research Uk,8,-0.3064541,51.4595386
311,Chu De Nantes,8,-1.5585839,47.2010438
312,Chu Lille,8,23.8222636,-2.9814344
313,Ecole Polytechnique Federale De Lausanne,8,6.5665615,46.5186594
314,Goethe University Frankfurt Hospital,8,-8.43056,52.47306
315,Japan Science Technology Agency Jst,8,-78.92197,40.32674
316,Korea University,8,127.0362318,37.5901411
317,Maastricht University,8,4.406164,50.8373469
318,Merck Company,8,-75.2794224,40.2202936
319,Montefiore Medical Center,8,1.4281588,51.3396824
320,Nanjing University,8,118.7740883,32.0565957
321,National Cancer Center Japan,8,139.767628,35.664961
322,Northwell Health,8,-73.4413075,40.7262969
323,Peter Maccallum Cancer Center,8,144.956688,-37.8002563
324,Sanofi Aventis,8,3.8271516,43.6213523
325,Tohoku University,8,140.8736593,38.2530945
326,Tsinghua University,8,116.320963,40.0022905
327,Ucd,8,-0.9401485,53.0771367
328,United States Department Of Energy Doe,8,-77.2552634,39.1799118
329,University Of Glasgow,8,-4.2892191,55.8723153
330,University Of Lubeck,8,10.70392,53.8344
331,University Of Ottawa,8,-75.6833904,45.422527
332,University Of Texas Medical Branch Galveston,8,-94.7765461,29.3114338
333,Us Food Drug Administration Fda,8,100.5275562,13.8467044
334,Walter Eliza Hall Institute,8,144.956099,-37.7981065
335,Western University University Of Western Ontario,8,-84.49983,49.25014
336,Addenbrooke S Hospital,7,-2.0363664,52.5737953
337,Autonomous University Of Madrid,7,-99.1849302,19.3216029
338,Carl Gustav Carus University Hospital,7,-81.98413,33.47063
339,Centro Nacional De Investigaciones Oncologicas Cnio,7,-3.6936852,40.4761339
340,China Medical University,7,120.6797618,24.1563931
341,Chu Lyon,7,-100.2827284,25.6171813
342,College De France,7,2.3461573,48.8493233
343,Dept Med,7,72.6575427,23.2212454
344,Garvan Institute Of Medical Research,7,151.2215252,-33.8791528
345,Georgetown University,7,-77.0745796,38.9089393
346,Georgia Institute Of Technology,7,-84.3988409,33.776033
347,Hiroshima University,7,132.7123195,34.4019766
348,Institute Of Biophysics Cas,7,-7.61138,33.58831
349,Jackson Lab Genom Med,7,39.61417,24.46861
350,Martin Luther University Halle Wittenberg,7,-89.16956,44.8272
351,Mcmaster University,7,-79.9178252,43.2639397
352,National Yang Ming Chiao Tung University,7,-89.52536,34.36594
353,New York Blood Center,7,-73.9988686,40.7177721
354,Oklahoma Medical Research Foundation,7,-97.4973158,35.483876
355,Philipps University Marburg,7,8.77069,50.80904
356,Regeneron,7,-73.8214837,41.0790049
357,Research Institute At Nationwide Children S Hospital,7,-8.43056,52.47306
358,Rigshospitalet,7,12.5666453,55.6965869
359,Rutgers Cancer Institute Of New Jersey,7,-74.44913,40.49636
360,Saint Michaels Hospital Toronto,7,-79.3778068,43.6536408
361,Shanghaitech University,7,121.5902345,31.1794305
362,Singapore Immunology Network Sign,7,103.7937682,1.3019927
363,St Georges University London,7,-0.1751861,51.4275978
364,State University Of New York Suny Stony Brook,7,-73.14094,40.92565
365,Technion Israel Institute Of Technology,7,35.0225446,32.7768128
366,Tokyo Medical University,7,139.7145748,35.7595187
367,Ucla Jonsson Comprehensive Cancer Center,7,2.16667,7.25
368,Universite De Nantes,7,-1.547897,47.2490787
369,Universite De Toulouse,7,1.440898,43.6058532
370,Universite Toulouse Iii Paul Sabatier,7,1.4636054,43.5603782
371,University Of Bristol,7,-2.6016207,51.4576128
372,University Of California Irvine,7,-117.8401649,33.6431901
373,University Of Cape Town,7,18.4675777,-33.9567559
374,University Of Kiel,7,10.1102582,54.3469188
375,University Of Leeds,7,-1.5560378,53.8066846
376,University Of Liverpool,7,-2.9645608,53.4045857
377,University Of Milano Bicocca,7,9.2073156,45.5144489
378,University Of Naples Federico Ii,7,25.3731,65.31735
379,University Of Turin,7,7.7476436,45.4173351
380,University Of Turku,7,22.2864359,60.4561486
381,University Of Western Australia,7,115.7979016,-31.9504045
382,Vrije Universiteit Brussel,7,4.3971254,50.8216517
383,Weizmann Institute Of Science,7,34.8133409,31.9078499
384,Wellcome Trust Sanger Institute,7,0.184669,52.0794415
385,Babraham Institute,6,0.2039204,52.1338603
386,Boehringer Ingelheim,6,-99.1129551,19.2523778
387,Children S Hospital Los Angeles,6,-118.24368,34.05223
388,Chu Bordeaux,6,135.3528644,34.732076
389,Genome Institute Of Singapore Gis,6,103.7925131,1.3028077
390,Guangdong Academy Of Medical Sciences Guangdong General Hospital,6,-8.43056,52.47306
391,Harvard School Of Dental Medicine,6,-71.102079,42.3362085
392,Helmholtz Center For Infection Research,6,10.5324645,52.2110927
393,Hospital Universitari Vall D Hebron,6,-84.70106,39.06589
394,Hungarian Academy Of Sciences,6,19.0461337,47.5012627
395,James Cook University,6,146.756645,-19.3289618
396,Jichi Medical University,6,139.8612754,36.4022786
397,Medical University Of Innsbruck,6,11.39454,47.26266
398,Minist Educ,6,-3.6910755,40.4087458
399,Nagasaki University,6,129.865345,32.7861999
400,National Jewish Health,6,-104.9423725,39.7392061
401,Royal Melbourne Hospital,6,144.9564033,-37.7986693
402,Rutgers State University Newark,6,-74.1749327,40.7407239
403,Rwth Aachen University Hospital,6,6.0689208,50.7791703
404,Sapienza University Rome,6,12.51133,41.89193
405,Seoul National University Hospital,6,126.998725,37.5790649
406,Stellenbosch University,6,18.8676656,-33.931522
407,Sungkyunkwan University Skku,6,126.9906264,37.5870459
408,Texas Children S Cancer Center,6,2.16667,7.25
409,The J David Gladstone Institutes,6,-122.3943473,37.7676356
410,Toronto General Hospital,6,-79.388158,43.6585876
411,Universita Della Svizzera Italiana,6,8.9581205,46.0109126
412,Universite Catholique Louvain,6,4.6201095,50.6682538
413,Universite Claude Bernard Lyon 1,6,4.8681545,45.7816645
414,University College Dublin,6,-6.2342858,53.3079633
415,University Of Bergen,6,-74.0307211,40.8980727
416,University Of Bologna,6,11.3558967,44.4947702
417,University Of Exeter,6,-3.5364767,50.7369302
418,University Of Kwazulu Natal,6,30.3947172,-29.6227961
419,University Of Leicester,6,-1.1257301,52.6244636
420,University Of Mississippi,6,-89.5396349,34.3646125
421,University Of Mississippi Medical Center,6,-90.1725206,32.3293896
422,University Of Nottingham,6,-1.2002957,52.9387428
423,University Of Science Technology Of China Cas,6,-7.61138,33.58831
424,University Of Sheffield,6,-1.4806602,53.3815327
425,University Of Southern Denmark,6,10.4280465,55.3679072
426,University Of Trento,6,11.350095,46.4983233
427,Virginia Commonwealth University,6,-77.4540586,37.5461246
428,Vita Salute San Raffaele University,6,-89.52536,34.36594
429,Weill Cornell Medical College Qatar,6,51.25,25.5
430,Zhengzhou University,6,113.5352664,34.8088168
431,Assistance Publique Hopitaux De Marseille,5,5.4075628,43.2606864
432,Austrian Academy Of Sciences,5,16.3975983,48.1979454
433,Boston Medical Center,5,-71.0746449,42.3341719
434,California Institute Of Technology,5,-118.1252882,34.1370138
435,Cea,5,-5.0127682,42.4619773
436,Chang Gung University,5,121.389774,25.0338385
437,Chiba University,5,140.1034657,35.6278693
438,Children S Mercy Hospital,5,-91.52848,41.66412
439,Consejo Nacional De Investigaciones Cientificas Y Tecnicas Conicet,5,-65.0076634,-42.7862795
440,Dalhousie University,5,-63.5919961,44.636201
441,East China Normal University,5,121.4021139,31.2284923
442,Emma Children S Hospital,5,-8.43056,52.47306
443,Fox Chase Cancer Center,5,-75.0909805,40.0712706
444,Friedrich Schiller University Of Jena,5,11.5899,50.92878
445,Fundacao Champalimaud,5,-9.2208009,38.6928557
446,Gachon University,5,127.1267248,37.4486992
447,Geriatric Research Education Clinical Center,5,2.16667,7.25
448,Harvard Med Sch,5,-73.93957,42.81424
449,Haukeland University Hospital,5,5.3590498,60.3735808
450,Henry Ford Hospital,5,-83.0855196,42.3678522
451,Henry M Jackson Foundation For The Advancement Of Military Medicine Inc,5,106.27306,38.46806
452,Institut Jules Bordet,5,4.2628237,50.8123475
453,Institut Pasteur Lille,5,3.0741821,50.6286075
454,Irccs Bambino Gesu,5,11.30906,44.83416
455,Irccs Ospedale San Raffaele,5,7.86374,45.15407
456,Jesse Brown Va Medical Center,5,-87.6777751,41.8702667
457,Juntendo University,5,139.7607191,35.7022674
458,King Faisal Specialist Hospital Research Center,5,39.1484778,21.5590946
459,Kyungpook National University,5,128.6108553,35.8905697
460,Leipzig University,5,12.3735652,51.3131269
461,Linkoping University,5,15.5754544,58.3977911
462,Marmara University,5,29.0529077,40.9872715
463,National Center For Child Health Development Japan,5,139.75309,35.68536
464,National Cerebral Cardiovascular Center Japan,5,135.5412376,34.7793671
465,National Institutes Of Natural Sciences Nins Japan,5,139.75309,35.68536
466,Netherlands Cancer Institute,5,4.8253264,52.3494454
467,Northeastern University,5,-71.0879129,42.3390301
468,Odense University Hospital,5,10.3641158,55.3855986
469,Ottawa Hospital Research Institute,5,-75.6207338,45.4427324
470,Pompeu Fabra University,5,-89.52536,34.36594
471,Rabin Medical Center,5,34.8796834,32.2621158
472,Rady Childrens Hospital San Diego,5,-117.1521134,32.7982304
473,Robert H Lurie Comprehensive Cancer Center,5,2.16667,7.25
474,Saint James S University Hospital,5,-81.98413,33.47063
475,Semmelweis University,5,19.0730579,47.4816845
476,State University Of New York Suny Buffalo,5,-78.87837,42.88645
477,Taipei Veterans General Hospital,5,121.5197219,25.1210087
478,Texas A M Health Science Center,5,2.16667,7.25
479,Texas Biomedical Research Institute,5,-98.6382108,29.4376941
480,Tokyo University Of Science,5,139.7426558,35.6995942
481,Tongji University,5,121.4969491,31.2847393
482,Univ Hosp,5,-98.5780943,29.5078264
483,Univ Paris,5,2.3468101,48.8414596
484,Universidade De Lisboa,5,-9.1510132,38.7180604
485,Universite D Angers,5,-0.6029146,47.4795481
486,Universite De Versailles Saint Quentin En Yvelines,5,2.01891,48.77186
487,University Of California Los Angeles Medical Center,5,-118.4468497,34.0708781
488,University Of Florence,5,35.8514255,32.5409291
489,University Of Georgia,5,-83.373049,33.9404278
490,University Of Liege,5,5.5623209,50.6370803
491,University Of Louisville,5,-85.7577075,38.2133223
492,University Of New Mexico,5,-106.6202094,35.0866327
493,University Of Notre Dame,5,-86.2382203,41.7045677
494,University Of Tsukuba,5,140.1006602,36.1070526
495,University Of Vermont,5,-73.1941468,44.4737365
496,University Of Veterinary Medicine Vienna,5,16.4304238,48.2548154
497,Wayne State University,5,-83.0709498,42.3572051
498,Wilhelmina Kinderziekenhuis,5,5.181604,52.0896546
499,Xiamen University,5,118.0930178,24.4399419
500,Agios Pharmaceuticals,4,-71.1006729,42.3615749
501,Al Sabah Hospital,4,47.9040688,29.3260998
502,All India Institute Of Medical Sciences Aiims New Delhi,4,77.22445,28.63576
503,American University Of Beirut,4,35.4823838,33.9000264
504,Aristotle University Of Thessaloniki,4,22.9588935,40.6298415
505,Baylor Scott White Health,4,-97.8752448,30.0277772
506,Bill Melinda Gates Foundation,4,-122.3461859,47.6232397
507,Biogen,4,-71.0851311,42.3664698
508,Catholic University Of Korea,4,127.004794,37.5854724
509,Chang Gung Memorial Hospital,4,121.3707965,25.0604744
510,Children S Hospital Research Institute Of Manitoba,4,-97.00049,55.00019
511,Chongqing Medical University,4,106.5048127,29.535582
